SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P1-1,269621.8042,3700478.524,21.59031572,119.7750686,5.168,21.98702257,83.72896151,5.506,12.511167,73.39682888,5.65,2.540461274,83.70826427,5.64,1.691594407,91.93695752,5.255,0.099387942,80.13750134,5.614,Cecil,WD
P1-2,269641.3159,3700493.14,18.78938372,107.1497697,5.359,20.06577522,74.93598891,5.542,17.02761001,67.46437524,5.6695,1.286956692,77.94481054,6.247,19.45016405,92.86956522,6.665,3.31962209,,6.92,Cecil,WD
P1-3,269660.8277,3700507.756,25.54501415,108.7995029,4.654,26.09150372,75.56374088,5.311,14.99699078,62.4295004,5.5485,4.781266034,58.74215175,6.307,1.859528091,69.62930371,6.486,2.566228065,90.57886103,6.672,Cecil,WD
P1-4,269680.3395,3700522.372,21.93106774,107.1940265,4.863,25.86311396,74.02242819,5.5125,24.83390015,66.08427514,5.957,7.741551805,66.40959726,6.567,4.856804929,81.24800341,6.771,5.301038834,97.35973597,6.92,Helena,MWD
P1-5,269699.8512,3700536.988,23.48210836,122.8418595,4.7575,23.47149968,80.81235371,5.0395,25.16898202,72.08010389,5.508,22.56674014,77.6604781,6.121,12.91951829,96.0466295,6.708,5.001587014,99.96421329,6.882,Helena,MWD
P1-6,269610.0667,3700499.313,19.2827573,107.5934731,5.1095,21.98512647,74.9669967,5.4195,20.56107231,65.98363219,5.7925,10.72222558,63.9874739,6.119,4.35445261,65.30336645,6.356,3.320253809,58.26803295,6.66,Cecil,WD
P1-7,269626.9327,3700512.341,22.07160448,105.6132215,4.9375,22.90255751,86.83409948,5.357,17.5061487,83.5820238,5.373,8.544177227,87.12671961,5.668,2.531175001,101.8888889,6.571,4.892342968,101.3184464,5.92,Cecil,WD
P1-8,269646.4444,3700526.957,20.14328675,109.9733727,4.7655,22.72569769,78.88998076,5.2545,24.17039367,72.42619271,5.431,12.08993543,65.50632911,5.838,3.302696102,72.39199157,6.266,2.21950056,87.41181658,6.446,Cecil,WD
P1-9,269665.9562,3700541.573,21.4342298,94.17805935,4.822,25.01809357,74.02006571,5.1335,24.04494623,68.7659328,5.374,10.34112827,61.17724868,5.913,1.726273585,63.87133831,6.343,2.957279125,90.04686454,6.875,Cecil,WD
P1-10,269685.468,3700556.189,23.13383825,109.7734428,4.798,26.11486028,83.43241185,5.208,25.93964807,66.09026004,5.4925,8.944021524,70.69756499,6.078,2.846533142,86.05974395,6.382,1.207748601,96.25988972,6.871,Cecil,WD
