SampleID,FL,Eas_X,Nor_Y,0-5_LOI_g_kg,5-10_LOI_g_kg,10-20_LOI_g_kg,20-40_LOI_g_kg,40-60_LOI_g_kg,60-90_LOI_g_kg,Soil_Series,Soil_Drainage_Type
P1-1,BL,269621.8042,3700478.524,119.7750686,83.72896151,73.39682888,83.70826427,91.93695752,80.13750134,Cecil,WD
P1-2,BL,269641.3159,3700493.14,107.1497697,74.93598891,67.46437524,77.94481054,92.86956522,,Cecil,WD
P1-3,BL,269660.8277,3700507.756,108.7995029,75.56374088,62.4295004,58.74215175,69.62930371,90.57886103,Cecil,WD
P1-4,BL,269680.3395,3700522.372,107.1940265,74.02242819,66.08427514,66.40959726,81.24800341,97.35973597,Helena,MWD
P1-5,BL,269699.8512,3700536.988,122.8418595,80.81235371,72.08010389,77.6604781,96.0466295,99.96421329,Helena,MWD
P1-6,BL,269610.0667,3700499.313,107.5934731,74.9669967,65.98363219,63.9874739,65.30336645,58.26803295,Cecil,WD
P1-7,BL,269626.9327,3700512.341,105.6132215,86.83409948,83.5820238,87.12671961,101.8888889,101.3184464,Cecil,WD
P1-8,BL,269646.4444,3700526.957,109.9733727,78.88998076,72.42619271,65.50632911,72.39199157,87.41181658,Cecil,WD
P1-9,BL,269665.9562,3700541.573,94.17805935,74.02006571,68.7659328,61.17724868,63.87133831,90.04686454,Cecil,WD
P1-10,BL,269685.468,3700556.189,109.7734428,83.43241185,66.09026004,70.69756499,86.05974395,96.25988972,Cecil,WD
P1-11,BL,269598.5939,3700522.218,106.1123944,69.22047685,63.63685901,103.6228623,94.99765148,90.24100292,Cecil,WD
P1-12,BL,269612.5494,3700531.542,108.9920924,51.73426116,63.64998474,78.48215291,94.98249708,94.02837347,Cecil,WD
P1-13,BL,269632.0612,3700546.158,106.1587612,81.33812273,64.88366225,67.78025241,91.61910484,93.76461419,Cecil,WD
P1-14,BL,269651.573,3700560.774,99.86597669,72.18217461,63.42734172,55.19911504,58.84907709,66.46058733,Cecil,WD
P1-15,BL,269671.0847,3700575.39,,,,,,,Cecil,WD
P2-16,BL,269709.2144,3700543.637,175.299979,93.81377464,82.84508575,86.04452055,96.44839068,99.46038754,Helena,MWD
P2-17,BL,269726.046,3700557.571,125.7530801,88.79879306,76.8363225,88.36082593,97.56379171,99.65265301,Helena,MWD
P2-18,BL,269743.3686,3700572.487,86.74635005,,54.64206938,69.4143167,91.56378601,90.27624309,Helena,MWD
P2-19,BL,269762.3274,3700589.693,152.431271,83.56888802,59.99601355,,109.7524002,101.9818332,Helena,MWD
P2-20,BL,269781.2862,3700606.9,96.2236409,62.27934687,46.75571082,55.12134924,87.98402308,104.5407755,Helena,MWD
P2-21,BL,269692.1176,3700562.278,99.26471931,75.8888793,69.98277161,60.99260371,69.44444444,82.77169335,Cecil,WD
P2-22,BL,269708.7857,3700576.866,109.8261008,70.62914403,64.03765884,66.11736334,82.73031645,101.489118,Cecil,WD
P2-23,BL,269726.5991,3700590.964,128.1836282,78.52022112,85.25185843,104.1796631,116.4101016,112.6126126,Cecil,WD
P2-24,BL,269745.5579,3700608.17,110.2261315,70.69483511,53.29033745,57.89213261,59.64950474,88.64664747,Sedgefield,SPD
P2-25,BL,269764.5167,3700625.377,134.8220545,70.03397928,57.0295957,,,,Sedgefield,SPD
P2-26,BL,269674.3664,3700584.518,96.97043515,75.41361402,67.44995736,74.8977237,94.81342408,102.1281518,Cecil,WD
P2-27,BL,269689.889,3700595.998,87.37733253,58.18802946,55.26907732,63.73008435,75.57502738,88.73368445,Cecil,WD
P2-28,BL,269709.8296,3700609.441,151.1182406,101.6714908,88.68733179,94.92374232,96.89748201,97.0027881,Cecil,WD
P2-29,BL,269728.7884,3700626.648,94.83199079,66.75204887,57.65537229,50.60204237,82.81656331,75.13216755,Sedgefield,SPD
P2-30,BL,269747.7472,3700643.854,106.020799,61.04794765,54.02726112,62.29880704,47.62409843,26.95829095,Sedgefield,SPD
P3-31,BL,269810.1236,3700620.143,141.0706714,67.73152535,81.53409307,98.85707553,102.2561455,73.89105953,Cecil,WD
